"Survey Start Time","Survey End Time","Created Date","Created By: Full Name","BM Cycle Name","Business Group ID","Business Group Name","Biz Expenses Business Exit","Biz Revenue Business Exit","Biz Inventory Business Exit","Biz Cash Business Exit","Biz Input Business Exit","PR Business Type","SB Planned Biz Type","SB Planned Biz Type NOT Started","SB Planned Biz Type Started?","Why deviated from SB plan?","Biz type group currently operating","Additional Biz Types Detail","# Of BOs dropped Business Exit","BOs dropped Business Exit","Group Size at PR","PR Grant Value Business Exit","PR Grant Used Business Exit","Business Participation Status","Reason unable to view records","Visit Number","Records Kept?","Records Up To Date?","Data Collection Method","Why Survey Not Completed","Why Survey Not Conducted Detail","Business Health 3"
"23/08/2024, 13:24","23/08/2024, 13:28","23/08/2024","Amina Drateru","FY24C1 Albert Atama","088282","Amen","1241000","2806000","1000000","1050000","2265000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 13:55","22/08/2024, 14:00","22/08/2024","Amina Drateru","FY24C1 Albert Atama","088278","Iyete","2345500","3586500","302000","200000","1674000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 12:54","22/08/2024, 18:11","22/08/2024","Amina Drateru","FY24C1 Albert Atama","088280","Loketa","528000","1611000","301000","500000","1915000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 12:07","22/08/2024, 12:12","22/08/2024","Amina Drateru","FY24C1 Albert Atama","088279","Yenet","1850000","2196000","150000","590000","315000","Crops","Livestock;Retail","","","","Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 09:07","22/08/2024, 09:14","22/08/2024","Amina Drateru","FY24C1 Albert Atama","088276","Grace","1190000","2804000","460000","305000","595000","Crops","Livestock;Retail","","","","Crops; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"22/08/2024, 12:28","22/08/2024, 18:06","22/08/2024","Amina Drateru","FY24C1 Albert Atama","088277","Salam","921200","1038000","307000","300000","865000","Retail","Livestock;Retail","","","","Retail; Skilled","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"23/08/2024, 11:14","23/08/2024, 11:18","23/08/2024","Amina Drateru","FY24C1 Albert Atama","088281","Hope","2740000","3209000","400000","620000","1225000","Crops","Livestock;Retail","","","","Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 13:01","23/08/2024, 13:05","23/08/2024","Amina Drateru","FY24C1 Albert Atama","088283","Pure","742000","1773000","370000","200000","220000","Livestock","Livestock;Retail","","","","Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","No","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Yellow"
"22/08/2024, 10:29","22/08/2024, 10:35","22/08/2024","Amina Drateru","FY24C1 Albert Atama","088284","God With Us","3505500","4650300","265000","680000","1920000","Crops","Livestock;Retail","","","","Crops; Livestock; Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
"23/08/2024, 12:36","23/08/2024, 12:40","23/08/2024","Amina Drateru","FY24C1 Albert Atama","088285","Happy","638000","1721000","355000","540000","315000","Crops","Livestock;Retail","","","","Retail","","","No","3","240000","240000","Active","","Business Exit","Yes","Yes","In-person","NOT APPLICABLE - THE SPOT CHECK IS BEING COMPLETED","","Green"
